model_id,prompt_label,config,buffer_size,verdict,time_s,peak_mem_gb,prompt_tokens,label,error,run_timestamp
mlx-community/Qwen2.5-7B-Instruct-4bit,short,baseline,,PASS,0.729,4.595,189,short_baseline,,
mlx-community/Qwen2.5-7B-Instruct-4bit,short,tq_ratio_0.5,94,PASS,0.687,4.595,189,short_tq_K3V2_ratio0.5_buf94,,
mlx-community/Qwen2.5-7B-Instruct-4bit,short,tq_ratio_1.0,189,PASS,0.652,4.607,189,short_tq_K3V2_ratio1.0_buf189,,
mlx-community/Qwen2.5-7B-Instruct-4bit,long,baseline,,LOST_FORMAT,3.244,5.105,1966,long_baseline,,
mlx-community/Qwen2.5-7B-Instruct-4bit,long,tq_ratio_0.5,983,LOST_FORMAT,5.374,5.093,1966,long_tq_K3V2_ratio0.5_buf983,,
mlx-community/Qwen2.5-7B-Instruct-4bit,long,tq_ratio_1.0,1966,PASS,2.924,5.16,1966,long_tq_K3V2_ratio1.0_buf1966,,
mlx-community/Llama-3.2-3B-Instruct-4bit,,,,,,,,,ImportError: cannot import name 'turboquant_value_weighted_sum_metal' from 'turboquant_mac.backends.metal_kernels' (/Users/sathishksoman/Dev/My Workspace/Personal/agentic-ai/agent-workbench/open-model-benchmark/.venv/lib/python3.12/site-packages/turboquant_mac/backends/metal_kernels.py),
mlx-community/Qwen3-4B-Instruct-2507-6bit,,,,,,,,,ImportError: cannot import name 'turboquant_value_weighted_sum_metal' from 'turboquant_mac.backends.metal_kernels' (/Users/sathishksoman/Dev/My Workspace/Personal/agentic-ai/agent-workbench/open-model-benchmark/.venv/lib/python3.12/site-packages/turboquant_mac/backends/metal_kernels.py),
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,short,baseline,,LOST_FORMAT,3.499,4.589,182,short_baseline,,
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,short,tq_ratio_0.5,91,LOST_FORMAT,2.989,4.589,182,short_tq_K3V2_ratio0.5_buf91,,
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,short,tq_ratio_1.0,182,LOST_FORMAT,2.94,4.604,182,short_tq_K3V2_ratio1.0_buf182,,
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,long,baseline,,LOST_FORMAT,5.411,5.108,1959,long_baseline,,
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,long,tq_ratio_0.5,980,LOST_FORMAT,5.366,5.093,1959,long_tq_K3V2_ratio0.5_buf980,,
mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,long,tq_ratio_1.0,1959,PASS,5.446,5.158,1959,long_tq_K3V2_ratio1.0_buf1959,,
mlx-community/Phi-4-mini-instruct-4bit,,,,,,,,,ImportError: cannot import name 'turboquant_value_weighted_sum_metal' from 'turboquant_mac.backends.metal_kernels' (/Users/sathishksoman/Dev/My Workspace/Personal/agentic-ai/agent-workbench/open-model-benchmark/.venv/lib/python3.12/site-packages/turboquant_mac/backends/metal_kernels.py),
